Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
218,2013-05-31,Costco Wholesale,COST,Ubs,Jason Derise,Buy,Buy,125,125,No Change
141,2014-09-25,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,115,115,No Change
220,2014-10-02,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,125,125,No Change
626,2014-10-06,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,130,130,No Change
140,2014-10-07,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,116,116,No Change
221,2014-10-09,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,129,129,No Change
138,2014-12-05,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,118,130,No Change
216,2014-12-11,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,145,145,No Change
139,2015-01-07,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,133,133,No Change
616,2015-07-09,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,143,143,No Change
72,2015-09-22,Costco Wholesale,COST,,Charles Grom,Buy,Buy,152,152,No Change
627,2015-09-30,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,144,144,No Change
71,2015-10-02,Costco Wholesale,COST,,Charles Grom,Buy,Buy,154,154,No Change
222,2015-10-26,Costco Wholesale,COST,,Jason Derise,Buy,Buy,180,180,No Change
888,2015-11-17,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,163,179,No Change
840,2015-12-09,Costco Wholesale,COST,Piper Sandler,Sean Naughton,Overweight,Overweight,171,174,No Change
354,2016-02-05,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,170,170,No Change
37,2016-02-12,Costco Wholesale,COST,Oppenheimer,Brian Nagel,Outperform,Outperform,160,160,No Change
621,2016-05-16,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,196,196,No Change
328,2016-05-27,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,155,155,No Change
622,2016-05-31,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,195,195,No Change
