,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Rating Action
1,670,3/19/2013,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Neutral,Neutral,68,68,No Change
2,671,5/8/2013,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Buy,Buy,90,90,No Change
3,12,12/13/2013,Lululemon Athletica,LULU,Janney,Adrienne Yih,Buy,Buy,75,75,No Change
4,12,12/13/2013,Lululemon Athletica,LULU,Janney,Adrienne Yih,Buy,Buy,75,75,No Change
5,253,12/13/2013,Lululemon Athletica,LULU,Stifel,Jim Duffy,Buy,Buy,75,75,No Change
6,254,1/14/2014,Lululemon Athletica,LULU,Stifel,Jim Duffy,Buy,Buy,73,73,No Change
7,667,1/21/2014,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Underperform,Underperform,43,43,No Change
8,549,12/9/2014,Lululemon Athletica,LULU,Wells Fargo,Paul Lejuez,Outperform,Marketperform,50,54,No Change
9,13,1/13/2015,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral,Neutral,61,61,No Change
10,13,1/13/2015,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral,Neutral,61,61,No Change
11,16,3/26/2015,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral,Neutral,63,63,No Change
12,16,3/26/2015,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral,Neutral,63,63,No Change
13,527,4/8/2015,Lululemon Athletica,LULU,Td Cowen,Oliver Chen,Outperform,Outperform,72,74,No Change
14,486,10/22/2015,Lululemon Athletica,LULU,Ubs,Michael Binetti,Neutral,Neutral,59,55,No Change
15,552,3/31/2016,Lululemon Athletica,LULU,Citi,Paul Lejuez,Buy,Buy,72,72,No Change
16,653,3/31/2016,Lululemon Athletica,LULU,,Robert Drbul,Buy,Buy,72,72,No Change
17,488,6/9/2016,Lululemon Athletica,LULU,Ubs,Michael Binetti,Neutral,Neutral,69,72,No Change
18,553,9/2/2016,Lululemon Athletica,LULU,Citi,Paul Lejuez,Buy,Buy,85,85,No Change
19,692,12/8/2016,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive,Positive,77,82,No Change
20,138,3/30/2017,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,64,64,No Change
21,138,3/30/2017,Lululemon Athletica,LULU,,Dana Telsey,Outperform,Outperform,64,64,No Change
22,633,12/1/2017,Lululemon Athletica,LULU,Needham,Rick Patel,Buy,Buy,71,71,No Change
