Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30),Event Type
690,7/5/2012,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,67.0,67.0,,,No Change
596,7/25/2014,Starbucks Corp,SBUX,Ubs,Keith Siegner,Buy,Buy,90.0,90.0,,,No Change
695,11/28/2014,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,100.0,100.0,,,No Change
594,1/23/2015,Starbucks Corp,SBUX,Ubs,Keith Siegner,Buy,Buy,95.0,95.0,,,No Change
278,1/23/2015,Starbucks Corp,SBUX,Rbc,David Palmer,Outperform,Outperform,95.0,95.0,,,No Change
700,2/10/2015,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,50.0,51.0,,,No Change
709,2/25/2015,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,51.0,53.5,,,No Change
583,3/19/2015,Starbucks Corp,SBUX,Goldman Sachs,Karen Holthouse,Buy,Positive,49.0,53.5,,,No Change
702,4/10/2015,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,53.0,55.0,,,No Change
593,4/24/2015,Starbucks Corp,SBUX,Ubs,Keith Siegner,Buy,Buy,57.0,57.0,,,No Change
693,6/25/2015,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,63.0,63.0,,,No Change
279,7/16/2015,Starbucks Corp,SBUX,Rbc,David Palmer,Outperform,Outperform,60.0,60.0,,,No Change
595,7/24/2015,Starbucks Corp,SBUX,Ubs,Keith Siegner,Buy,Buy,63.0,63.0,,,No Change
703,10/30/2015,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Overweight,63.0,72.0,,,No Change
597,10/30/2015,Starbucks Corp,SBUX,Ubs,Keith Siegner,Buy,Buy,70.0,70.0,,,No Change
285,10/30/2015,Starbucks Corp,SBUX,Rbc,David Palmer,Outperform,Outperform,64.0,68.0,,,No Change
