,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
0,122,6/13/2013,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Neutral,Buy,36,37.5,0,1,Upgrade
1,415,11/22/2013,Ross Stores Inc,ROST,Maxim Group,Rick Snyder,Hold,Sell,37.5,31.5,0,-1,Downgrade
2,430,2/28/2014,Ross Stores Inc,ROST,NaN,Roxanne Meyer,Buy,Buy,84,84,1,1,No change
3,322,5/23/2014,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,78,78,1,1,No change
4,134,7/16/2014,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Buy,Neutral,40.5,34,1,0,Downgrade
5,253,11/21/2014,Ross Stores Inc,ROST,NaN,Laura Champine,Sell,Sell,74,74,-1,-1,No change
6,324,11/21/2014,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,95,95,1,1,No change
7,462,12/3/2014,Ross Stores Inc,ROST,Goldman Sachs,Stephen Grambling,Buy,Buy,49.5,48,1,1,No change
8,360,12/16/2014,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Market Perform,47.5,47,1,0,Downgrade
9,429,2/27/2015,Ross Stores Inc,ROST,NaN,Roxanne Meyer,Neutral,Neutral,99,99,0,0,No change
10,319,2/27/2015,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,115,115,1,1,No change
11,131,4/17/2015,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Short,Neutral,52.5,56,-1,0,Upgrade
12,433,9/17/2015,Ross Stores Inc,ROST,NaN,Roxanne Meyer,Neutral,Neutral,52,52,0,0,No change
13,428,3/2/2016,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Neutral,Buy,52,65,0,1,Upgrade
14,364,5/20/2016,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,63,61,1,1,No change
15,365,7/13/2016,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,61,63,1,1,No change
