Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30),Event Type
543,12/2/2009,Amazon.com Inc,AMZN,,Heath Terry,Outperform,Outperform,160.0,160.0,,,No Change
226,9/4/2012,Amazon.com Inc,AMZN,,Brian Pitz,Buy,Buy,300.0,300.0,,,No Change
1536,9/21/2012,Amazon.com Inc,AMZN,,Youssef Squali,Buy,Buy,300.0,300.0,,,No Change
544,1/9/2013,Amazon.com Inc,AMZN,,Heath Terry,Buy,Buy,310.0,310.0,,,No Change
222,1/30/2013,Amazon.com Inc,AMZN,,Brian Pitz,Buy,Buy,335.0,335.0,,,No Change
1534,1/30/2013,Amazon.com Inc,AMZN,,Youssef Squali,Buy,Buy,335.0,335.0,,,No Change
161,1/30/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy,Buy,335.0,335.0,,,No Change
932,1/30/2013,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform,Outperform,330.0,330.0,,,No Change
159,2/20/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy,Buy,300.0,300.0,,,No Change
156,4/17/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy,Buy,315.0,315.0,,,No Change
1533,4/26/2013,Amazon.com Inc,AMZN,,Youssef Squali,Buy,Buy,315.0,315.0,,,No Change
162,7/10/2013,Amazon.com Inc,AMZN,,Brian Nowak,Positive,Positive,370.0,370.0,,,No Change
1269,10/25/2013,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,16.75,20.0,,,No Change
935,10/25/2013,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform,Outperform,425.0,425.0,,,No Change
478,10/25/2013,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy,Buy,400.0,400.0,,,No Change
993,12/31/2013,Amazon.com Inc,AMZN,Citi,Mark May,Buy,Buy,457.0,457.0,,,No Change
1317,1/6/2014,Amazon.com Inc,AMZN,Morgan Stanley,Scott Devitt,Overweight,Overweight,435.0,435.0,,,No Change
160,1/10/2014,Amazon.com Inc,AMZN,,Brian Nowak,Positive,Positive,500.0,500.0,,,No Change
469,1/13/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy,Buy,465.0,465.0,,,No Change
1265,1/31/2014,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,420.0,420.0,,,No Change
996,1/31/2014,Amazon.com Inc,AMZN,Citi,Mark May,Neutral,Neutral,454.0,454.0,,,No Change
472,1/31/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy,Buy,420.0,420.0,,,No Change
1263,4/25/2014,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,400.0,400.0,,,No Change
12,4/25/2014,Amazon.com Inc,AMZN,Raymond James,Aaron Kessler,Outperform,Outperform,400.0,400.0,,,No Change
467,4/25/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral,Neutral,350.0,350.0,,,No Change
1532,4/25/2014,Amazon.com Inc,AMZN,,Youssef Squali,Buy,Buy,400.0,400.0,,,No Change
1266,7/25/2014,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,395.0,395.0,,,No Change
475,7/25/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral,Neutral,358.0,358.0,,,No Change
225,7/25/2014,Amazon.com Inc,AMZN,,Brian Pitz,Buy,Buy,395.0,395.0,,,No Change
933,7/25/2014,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform,Outperform,380.0,380.0,,,No Change
410,7/25/2014,Amazon.com Inc,AMZN,,Doug Anmuth,Neutral,Neutral,358.0,358.0,,,No Change
937,9/19/2014,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform,Outperform,435.0,435.0,,,No Change
167,10/10/2014,Amazon.com Inc,AMZN,,Brian Nowak,Positive,Positive,390.0,390.0,,,No Change
339,10/24/2014,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,Buy,350.0,350.0,,,No Change
290,10/24/2014,Amazon.com Inc,AMZN,Baird,Colin Sebastian,Outperform,Outperform,20.0,17.0,,,No Change
477,10/24/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral,Neutral,325.0,325.0,,,No Change
998,10/24/2014,Amazon.com Inc,AMZN,Citi,Mark May,Neutral,Neutral,325.0,325.0,,,No Change
931,1/27/2015,Amazon.com Inc,AMZN,Rbc,Mark Mahaney,Outperform,Outperform,410.0,410.0,,,No Change
409,1/27/2015,Amazon.com Inc,AMZN,,Doug Anmuth,Neutral,Neutral,323.0,323.0,,,No Change
471,1/30/2015,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral,Neutral,350.0,350.0,,,No Change
1264,1/30/2015,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,400.0,400.0,,,No Change
223,1/30/2015,Amazon.com Inc,AMZN,,Brian Pitz,Buy,Buy,400.0,400.0,,,No Change
995,1/30/2015,Amazon.com Inc,AMZN,Citi,Mark May,Buy,Buy,400.0,400.0,,,No Change
1430,1/30/2015,Amazon.com Inc,AMZN,Credit Suisse,Stephen Ju,Outperform,Outperform,415.0,415.0,,,No Change
997,3/27/2015,Amazon.com Inc,AMZN,Citi,Mark May,Buy,Buy,430.0,430.0,,,No Change
1550,4/24/2015,Amazon.com Inc,AMZN,Cantor Fitzgerald,Youssef Squali,Buy,Buy,19.25,23.0,,,No Change
466,4/24/2015,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral,Neutral,450.0,450.0,,,No Change
929,4/24/2015,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform,Outperform,485.0,485.0,,,No Change
165,5/21/2015,Amazon.com Inc,AMZN,,Brian Nowak,Overweight,Overweight,520.0,520.0,,,No Change
301,7/8/2015,Amazon.com Inc,AMZN,Baird,Colin Sebastian,Positive,Positive,23.25,23.75,,,No Change
1551,7/24/2015,Amazon.com Inc,AMZN,Cantor Fitzgerald,Youssef Squali,Buy,Buy,23.0,33.5,,,No Change
474,7/24/2015,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy,Buy,650.0,650.0,,,No Change
1431,7/24/2015,Amazon.com Inc,AMZN,Credit Suisse,Stephen Ju,Outperform,Outperform,700.0,700.0,,,No Change
224,7/24/2015,Amazon.com Inc,AMZN,Jefferies,Brian Pitz,Buy,Buy,650.0,650.0,,,No Change
