Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
543,12/2/2009,Amazon.com Inc,AMZN,,Heath Terry,Outperform                   ,Outperform                   ,160,160
226,9/4/2012,Amazon.com Inc,AMZN,,Brian Pitz,Buy                          ,Buy                          ,300,300
1536,9/21/2012,Amazon.com Inc,AMZN,,Youssef Squali,Buy                          ,Buy                          ,300,300
544,1/9/2013,Amazon.com Inc,AMZN,,Heath Terry,Buy                          ,Buy                          ,310,310
222,1/30/2013,Amazon.com Inc,AMZN,,Brian Pitz,Buy                          ,Buy                          ,335,335
1534,1/30/2013,Amazon.com Inc,AMZN,,Youssef Squali,Buy                          ,Buy                          ,335,335
161,1/30/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy                          ,Buy                          ,335,335
932,1/30/2013,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform                   ,Outperform                   ,330,330
159,2/20/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy                          ,Buy                          ,300,300
156,4/17/2013,Amazon.com Inc,AMZN,,Brian Nowak,Buy                          ,Buy                          ,315,315
1533,4/26/2013,Amazon.com Inc,AMZN,,Youssef Squali,Buy                          ,Buy                          ,315,315
162,7/10/2013,Amazon.com Inc,AMZN,,Brian Nowak,Positive                     ,Positive                     ,370,370
1269,10/25/2013,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy,Buy,16.75,20
935,10/25/2013,Amazon.com Inc,AMZN,,Mark Mahaney,Outperform                   ,Outperform                   ,425,425
478,10/25/2013,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy                          ,Buy                          ,400,400
993,12/31/2013,Amazon.com Inc,AMZN,Citi,Mark May,Buy                          ,Buy                          ,457,457
1317,1/6/2014,Amazon.com Inc,AMZN,Morgan Stanley,Scott Devitt,Overweight                   ,Overweight                   ,435,435
160,1/10/2014,Amazon.com Inc,AMZN,,Brian Nowak,Positive                     ,Positive                     ,500,500
469,1/13/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy                          ,Buy                          ,465,465
1265,1/31/2014,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy                          ,Buy                          ,420,420
996,1/31/2014,Amazon.com Inc,AMZN,Citi,Mark May,Neutral                      ,Neutral                      ,454,454
472,1/31/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Buy                          ,Buy                          ,420,420
1263,4/25/2014,Amazon.com Inc,AMZN,Deutsche Bank,Ross Sandler,Buy                          ,Buy                          ,400,400
12,4/25/2014,Amazon.com Inc,AMZN,Raymond James,Aaron Kessler,Outperform                   ,Outperform                   ,400,400
467,4/25/2014,Amazon.com Inc,AMZN,Ubs,Eric Sheridan,Neutral                      ,Neutral                      ,350,350
