Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
670,2013-03-19,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Neutral                      ,Neutral                      ,68,68
671,2013-05-08,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Buy                          ,Buy                          ,90,90
663,2013-06-11,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Buy,Neutral,90,75
664,2013-11-14,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Neutral,Underperform,75,56
12,2013-12-13,Lululemon Athletica,LULU,Janney,Adrienne Yih,Buy                          ,Buy                          ,75,75
12,2013-12-13,Lululemon Athletica,LULU,Janney,Adrienne Yih,Buy                          ,Buy                          ,75,75
253,2013-12-13,Lululemon Athletica,LULU,Stifel,Jim Duffy,Buy                          ,Buy                          ,75,75
254,2014-01-14,Lululemon Athletica,LULU,Stifel,Jim Duffy,Buy                          ,Buy                          ,73,73
667,2014-01-21,Lululemon Athletica,LULU,Crt Capital,Sam Poser,Underperform                 ,Underperform                 ,43,43
357,2014-10-16,Lululemon Athletica,LULU,Macquarie,Laurent Vasilescu,Neutral,Underperform,40,34
549,2014-12-09,Lululemon Athletica,LULU,Wells Fargo,Paul Lejuez,Outperform,Marketperform,50,54
13,2015-01-13,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral                      ,Neutral                      ,61,61
13,2015-01-13,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral                      ,Neutral                      ,61,61
16,2015-03-26,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral                      ,Neutral                      ,63,63
16,2015-03-26,Lululemon Athletica,LULU,Janney,Adrienne Yih,Neutral                      ,Neutral                      ,63,63
527,2015-04-08,Lululemon Athletica,LULU,Td Cowen,Oliver Chen,Outperform,Outperform,72,74
486,2015-10-22,Lululemon Athletica,LULU,Ubs,Michael Binetti,Neutral,Neutral,59,55
552,2016-03-31,Lululemon Athletica,LULU,Citi,Paul Lejuez,Buy                          ,Buy                          ,72,72
653,2016-03-31,Lululemon Athletica,LULU,,Robert Drbul,Buy                          ,Buy                          ,72,72
488,2016-06-09,Lululemon Athletica,LULU,Ubs,Michael Binetti,Neutral,Neutral,69,72
553,2016-09-02,Lululemon Athletica,LULU,Citi,Paul Lejuez,Buy                          ,Buy                          ,85,85
692,2016-12-08,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive,Positive,77,82
138,2017-03-30,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,64,64
138,2017-03-30,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,64,64
694,2017-03-30,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive,Neutral,82,57
560,2017-10-20,Lululemon Athletica,LULU,Citi,Paul Lejuez,Neutral,Buy,62,73
633,2017-12-01,Lululemon Athletica,LULU,Needham,Rick Patel,Buy                          ,Buy                          ,71,71
131,2017-12-07,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,84,84
131,2017-12-07,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,84,84
133,2018-01-02,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,92,92
133,2018-01-02,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,92,92
634,2018-01-09,Lululemon Athletica,LULU,Needham,Rick Patel,Buy                          ,Buy                          ,84,84
187,2018-03-28,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Market Perform               ,Market Perform               ,82,82
187,2018-03-28,Lululemon Athletica,LULU,Wells Fargo,Ike Boruchow,Market Perform               ,Market Perform               ,82,82
516,2018-03-28,Lululemon Athletica,LULU,,Oliver Chen,Outperform                   ,Outperform                   ,98,98
637,2018-03-28,Lululemon Athletica,LULU,Needham,Rick Patel,Buy,Buy,84,88
668,2018-06-01,Lululemon Athletica,LULU,Susquehanna,Sam Poser,Positive                     ,Positive                     ,121,121
134,2018-06-01,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,125,125
255,2018-06-01,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold                         ,Hold                         ,111,111
134,2018-06-01,Lululemon Athletica,LULU,,Dana Telsey,Outperform                   ,Outperform                   ,125,125
712,2018-06-04,Lululemon Athletica,LULU,Nomura,Simeon Siegel,Buy                          ,Buy                          ,120,120
256,2018-06-08,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold                         ,Hold                         ,113,113
514,2018-07-09,Lululemon Athletica,LULU,,Oliver Chen,Outperform                   ,Outperform                   ,137,137
551,2018-07-12,Lululemon Athletica,LULU,Citi,Paul Lejuez,Neutral                      ,Neutral                      ,127,127
733,2018-08-15,Lululemon Athletica,LULU,B. Riley,Susan Anderson,Neutral,In Line,112,128
252,2018-08-31,Lululemon Athletica,LULU,Stifel,Jim Duffy,Hold                         ,Hold                         ,150,150
