Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
122,2013-06-13,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Neutral,Buy,36,37.5
415,2013-11-22,Ross Stores Inc,ROST,Maxim Group,Rick Snyder,Hold,Sell,37.5,31.5
430,2014-02-28,Ross Stores Inc,ROST,,Roxanne Meyer,Buy,Buy,84,84
322,2014-05-23,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,78,78
134,2014-07-16,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Buy,Neutral,40.5,34
253,2014-11-21,Ross Stores Inc,ROST,,Laura Champine,Sell,Sell,74,74
324,2014-11-21,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,95,95
462,2014-12-03,Ross Stores Inc,ROST,Goldman Sachs,Stephen Grambling,Buy,Buy,49.5,48
360,2014-12-16,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Market Perform,47.5,47
429,2015-02-27,Ross Stores Inc,ROST,,Roxanne Meyer,Neutral,Neutral,99,99
319,2015-02-27,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,115,115
131,2015-04-17,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Short,Neutral,52.5,56
433,2015-09-17,Ross Stores Inc,ROST,,Roxanne Meyer,Neutral,Neutral,52,52
428,2016-03-02,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Neutral,Buy,52,65
364,2016-05-20,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,63,61
365,2016-07-13,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,61,63
457,2016-08-01,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,64,64
316,2016-08-19,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,70,70
420,2016-08-19,Ross Stores Inc,ROST,,Robert Drbul,Buy,Buy,70,70
458,2016-08-19,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,67,67
376,2016-08-19,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Buy,70,70
434,2016-08-19,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,65,72
413,2016-08-19,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,51,57
411,2016-11-18,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,57,59
208,2017-03-01,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perfo,65,72
347,2017-03-01,Ross Stores Inc,ROST,Wedbush,Morry Brown,Outperform,Positive,71,73
412,2017-03-01,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,59,63
221,2017-11-17,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,77,77
207,2017-11-17,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perform,71,71
48,2017-11-17,Ross Stores Inc,ROST,Rbc,Brian Tunick,Sector Perform,Sector Perform,70,70
74,2017-11-17,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,75,75
447,2017-11-17,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,80,80
439,2017-11-17,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,78,80
446,2018-01-17,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,90,90
217,2018-03-07,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,94,94
323,2018-05-25,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,91,91
377,2018-07-31,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,89,89
392,2018-08-24,Ross Stores Inc,ROST,,Paul Trussell,Buy,Buy,95,95
293,2018-08-24,Ross Stores Inc,ROST,,Matthew Boss,Overweight,Overweight,96,96
318,2018-08-24,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,95,95
71,2018-08-24,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,100,100
444,2018-08-24,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,95,95
461,2018-09-04,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,104,104
379,2018-10-11,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,98,98
261,2018-11-14,Ross Stores Inc,ROST,Baml,Lorraine Hutchinson,Buy,Buy,115,115
448,2018-11-21,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,95,95
75,2018-11-21,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,95,95
378,2018-11-21,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,88,88
222,2018-11-23,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,94,94
37,2019-06-27,Ross Stores Inc,ROST,Goldman Sachs,Alexandra Walvis,Neutral,Sell,102,91
115,2019-08-23,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Outperform,Outperform.,104,116
317,2019-08-23,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,113,113
182,2019-08-23,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,115,116
77,2019-10-11,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,103 » 112,103 » 112
325,2019-11-22,Ross Stores Inc,ROST,,Michael Baker,Neutral,Neutral,113,113
191,2019-11-22,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,126,131
76,2019-11-22,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,112 » 118,112 » 118
445,2020-02-04,Ross Stores Inc,ROST,,Simeon Siegel,Outperform,Outperform,130,130
393,2020-02-24,Ross Stores Inc,ROST,Deutsche Bank,Paul Trussell,Buy,Buy,128,128
294,2020-03-04,Ross Stores Inc,ROST,,Matthew Boss,Overweight,Overweight,122,122
