Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Upgrade/Downgrade/No Change,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30)
122,6/13/2013,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Neutral,Buy,36,37.5,,,
415,11/22/2013,Ross Stores Inc,ROST,Maxim Group,Rick Snyder,Hold,Sell,37.5,31.5,,,
430,2/28/2014,Ross Stores Inc,ROST,,Roxanne Meyer,Buy,Buy,84,84,,,
322,5/23/2014,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,78,78,,,
134,7/16/2014,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Buy,Neutral,40.5,34,,,
253,11/21/2014,Ross Stores Inc,ROST,,Laura Champine,Sell,Sell,74,74,,,
324,11/21/2014,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,95,95,,,
462,12/3/2014,Ross Stores Inc,ROST,Goldman Sachs,Stephen Grambling,Buy,Buy,49.5,48,,,
360,12/16/2014,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Market Perform,47.5,47,,,
429,2/27/2015,Ross Stores Inc,ROST,,Roxanne Meyer,Neutral,Neutral,99,99,,,
319,2/27/2015,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,115,115,,,
131,4/17/2015,Ross Stores Inc,ROST,Crt Capital,Ike Boruchow,Short,Neutral,52.5,56,,,
433,9/17/2015,Ross Stores Inc,ROST,,Roxanne Meyer,Neutral,Neutral,52,52,,,
428,3/2/2016,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Neutral,Buy,52,65,,,
364,5/20/2016,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,63,61,,,
365,7/13/2016,Ross Stores Inc,ROST,Td Cowen,Oliver Chen,Outperform,Outperform,61,63,,,
457,8/1/2016,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,64,64,,,
316,8/19/2016,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,70,70,,,
420,8/19/2016,Ross Stores Inc,ROST,,Robert Drbul,Buy,Buy,70,70,,,
458,8/19/2016,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,67,67,,,
376,8/19/2016,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Buy,70,70,,,
434,8/19/2016,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,65,72,,,
413,8/19/2016,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,51,57,,,
411,11/18/2016,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,57,59,,,
208,3/1/2017,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perfo,65,72,,,
347,3/1/2017,Ross Stores Inc,ROST,Wedbush,Morry Brown,Outperform,Positive,71,73,,,
412,3/1/2017,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,59,63,,,
221,11/17/2017,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,77,77,,,
207,11/17/2017,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perform,71,71,,,
48,11/17/2017,Ross Stores Inc,ROST,Rbc,Brian Tunick,Sector Perform,Sector Perform,70,70,,,
74,11/17/2017,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,75,75,,,
447,11/17/2017,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,80,80,,,
439,11/17/2017,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,78,80,,,
446,1/17/2018,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,90,90,,,
217,3/7/2018,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,94,94,,,
323,5/25/2018,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,91,91,,,
377,7/31/2018,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,89,89,,,
392,8/24/2018,Ross Stores Inc,ROST,,Paul Trussell,Buy,Buy,95,95,,,
293,8/24/2018,Ross Stores Inc,ROST,,Matthew Boss,Overweight,Overweight,96,96,,,
318,8/24/2018,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,95,95,,,
71,8/24/2018,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,100,100,,,
444,8/24/2018,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,95,95,,,
461,9/4/2018,Ross Stores Inc,ROST,,Stephen Grambling,Neutral,Neutral,104,104,,,
379,10/11/2018,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,98,98,,,
261,11/14/2018,Ross Stores Inc,ROST,Baml,Lorraine Hutchinson,Buy,Buy,115,115,,,
448,11/21/2018,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,95,95,,,
75,11/21/2018,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,95,95,,,
378,11/21/2018,Ross Stores Inc,ROST,Citi,Paul Lejuez,Neutral,Neutral,88,88,,,
222,11/23/2018,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,94,94,,,
37,6/27/2019,Ross Stores Inc,ROST,Goldman Sachs,Alexandra Walvis,Neutral,Sell,102,91,,,
115,8/23/2019,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Outperform,Outperform.,104,116,,,
317,8/23/2019,Ross Stores Inc,ROST,,Michael Baker,Buy,Buy,113,113,,,
